BALANCE MIEMBRO
Periodo actual; Periodo cierre anterior; Diferencia
1608032000;1618797000;-10765000
19170000;20204000;-1034000
2554000;2885000;-331000
16616000;17319000;-703000
235211000;236921000;-1710000
1216123000;1225635000;-9512000
88923000;86950000;1973000
48605000;49087000;-482000
293585000;301039000;-7454000
143081000;127448000;15633000
125981000;143257000;-17276000
40038000;40575000;-537000
85440000;102682000;-17242000
503000;706789;-203789
3248000;6330000;-3082000
297000;614000;-317000
5718000;11804000;-6086000
15260000;11586000;3674000
1901617000;1919836000;-18219000
430402000;417465000;12937000
409553000;398225000;11328000
331193000;331563000;-370000
331193000;331563000;-370000
3808000;3808000;0
52345000;52392000;-47000
